filename,version
"cca_onboarding_all_in_one_servers_file_version","2022.3.1"
"cca_onboarding_cluster_manager_cluster_c1_file_version","2023.1.1"
"cca_onboarding_cluster_manager_cluster_c2_file_version","2023.1.1"
"cca_onboarding_core_control_file_version","2022.3.1"
"cca_onboarding_data_collection_nodes_file_version","2022.3.1"
"cca_onboarding_defaults_file_version","2023.1.1"
"cca_onboarding_deployment_server_file_version","2022.3.1"
"cca_onboarding_env_specific_file_version","2022.3.1"
"cca_onboarding_forwarders_file_version","2022.3.1"
"cca_onboarding_hybrid_searchheads_file_version","2022.3.1"
"cca_onboarding_license_managers_file_version","2022.3.1"
"cca_onboarding_linux_file_version","2022.3.1"
"cca_onboarding_monitoring_consoles_file_version","2022.3.1"
"cca_onboarding_onboarding_file_version","2023.1.1"
"cca_onboarding_searchhead_deployer_shcluser_c1_file_version","2022.3.1"
"cca_onboarding_searchhead_deployer_shcluster_c2_file_version","2022.3.1"
"cca_onboarding_standalone_indexers_file_version","2022.3.1"
"cca_onboarding_standalone_searchheads_file_version","2022.3.1"
